ranking,occupation
204,"Computer, Automated Teller, and Office Machine Repairers"
205,Industrial-Organizational Psychologists
206,Dietetic Technicians
207,Nuclear Engineers
208,Electronic Drafters
209,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
210,Anthropologists
211,"Education Administrators, Postsecondary"
212,Allergists and Immunologists
213,Recreational Therapists
214,Interior Designers
215,Municipal Clerks
216,Driver/Sales Workers
217,Microsystems Engineers
218,"Career/Technical Education Teachers, Middle School"
219,Business Continuity Planners
220,Information Technology Project Managers
221,Robotics Engineers
222,Green Marketers
223,Marine Engineers
224,Informatics Nurse Specialists
225,Treasurers and Controllers
226,First-Line Supervisors of Retail Sales Workers
227,Medical and Health Services Managers
228,Photonics Engineers
229,Nurse Practitioners
230,Tax Preparers
231,"Stock Clerks, Sales Floor"
232,Microbiologists
233,City and Regional Planning Aides
234,Patient Representatives
235,Court Reporters
236,Audio-Visual and Multimedia Collections Specialists
237,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
238,"Career/Technical Education Teachers, Secondary School"
239,Geospatial Information Scientists and Technologists
240,Travel Guides
241,"Education Administrators, Elementary and Secondary School"
242,Construction Managers
243,Photographers
244,"Preschool Teachers, Except Special Education"
245,Counseling Psychologists
246,Biomedical Engineers
247,Fashion Designers
248,Food Science Technicians
249,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
250,Proofreaders and Copy Markers
251,First-Line Supervisors of Non-Retail Sales Workers
252,"Environmental Science and Protection Technicians, Including Health"
253,Electromechanical Engineering Technologists
254,Telemarketers
255,Licensing Examiners and Inspectors
256,"Electronics Engineers, Except Computer"
257,Chemists
258,Reporters and Correspondents
259,Electro-Mechanical Technicians
260,Loan Officers
261,Architectural and Engineering Managers
262,Cost Estimators
263,Sales Engineers
264,Chief Executives
265,Energy Engineers
266,Landscape Architects
267,Geneticists
268,Genetic Counselors
269,Concierges
270,Human Factors Engineers and Ergonomists
271,"Meeting, Convention, and Event Planners"
272,Assessors
273,Obstetricians and Gynecologists
274,Solar Sales Representatives and Assessors
275,"Bookkeeping, Accounting, and Auditing Clerks"
276,Insurance Policy Processing Clerks
277,Substance Abuse and Behavioral Disorder Counselors
278,Logistics Engineers
279,Athletic Trainers
280,"Kindergarten Teachers, Except Special Education"
281,Clinical Nurse Specialists
282,Soil and Plant Scientists
283,Insurance Underwriters
284,Civil Engineers
285,First-Line Supervisors of Housekeeping and Janitorial Workers
286,Coaches and Scouts
287,Mechanical Engineering Technologists
288,Social and Community Service Managers
289,Advanced Practice Psychiatric Nurses
290,Couriers and Messengers
291,Automotive and Watercraft Service Attendants
292,Video Game Designers
293,Regulatory Affairs Specialists
294,Loan Counselors
295,First-Line Supervisors of Construction Trades and Extraction Workers
296,File Clerks
297,Automotive Engineers
298,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
299,Civil Engineering Technicians
300,Amusement and Recreation Attendants
301,Sales Managers
302,Environmental Economists
303,Broadcast News Analysts
304,"Appraisers, Real Estate"
305,"Locker Room, Coatroom, and Dressing Room Attendants"
306,"Architects, Except Landscape and Naval"
307,"Education Administrators, Preschool and Childcare Center/Program"
308,"Switchboard Operators, Including Answering Service"
309,Risk Management Specialists
310,Insurance Sales Agents
311,"Internists, General"
312,Pharmacy Aides
313,Electrical Engineering Technologists
314,Training and Development Specialists
315,Midwives
316,Molecular and Cellular Biologists
317,Pest Control Workers
318,"Tax Examiners and Collectors, and Revenue Agents"
319,Medical Secretaries
320,Architectural Drafters
321,"Cooks, Short Order"
322,Remote Sensing Technicians
323,"Environmental Scientists and Specialists, Including Health"
324,Engine and Other Machine Assemblers
325,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
326,General and Operations Managers
327,"Shipping, Receiving, and Traffic Clerks"
328,Farm and Ranch Managers
329,Baristas
330,Nanotechnology Engineering Technicians
331,Clinical Research Coordinators
332,School Psychologists
333,Industrial Engineering Technicians
334,Immigration and Customs Inspectors
335,Retail Loss Prevention Specialists
336,"Wholesale and Retail Buyers, Except Farm Products"
337,"Billing, Cost, and Rate Clerks"
338,First-Line Supervisors of Food Preparation and Serving Workers
339,Police Patrol Officers
340,Electrical Engineers
341,Subway and Streetcar Operators
342,Agricultural Technicians
343,Electronic Home Entertainment Equipment Installers and Repairers
344,Radio and Television Announcers
345,Court Clerks
346,Music Therapists
347,Parking Lot Attendants
348,Library Technicians
349,Family and General Practitioners
350,Respiratory Therapists
351,New Accounts Clerks
352,Orthodontists
353,Aerospace Engineers
354,Baggage Porters and Bellhops
355,Singers
356,Spa Managers
357,Chefs and Head Cooks
358,Lodging Managers
359,Museum Technicians and Conservators
360,Budget Analysts
361,Chiropractors
362,Receptionists and Information Clerks
363,Bill and Account Collectors
364,Cartographers and Photogrammetrists
365,"Electronic Equipment Installers and Repairers, Motor Vehicles"
366,Radiologists
367,Psychiatrists
368,Actors
369,Electrical Drafters
370,Barbers
371,Heavy and Tractor-Trailer Truck Drivers
372,"Inspectors, Testers, Sorters, Samplers, and Weighers"
373,Equal Opportunity Representatives and Officers
374,Customs Brokers
375,Nuclear Medicine Physicians
376,Fundraisers
377,Fitness and Wellness Coordinators
378,Pharmacy Technicians
379,"Library Assistants, Clerical"
380,Environmental Engineering Technicians
381,"Geoscientists, Except Hydrologists and Geographers"
382,Biochemical Engineers
383,Construction and Building Inspectors
384,Massage Therapists
385,Actuaries
386,Mental Health and Substance Abuse Social Workers
387,License Clerks
388,"Special Education Teachers, Preschool"
389,Surgeons
390,"Special Education Teachers, Kindergarten and Elementary School"
391,Set and Exhibit Designers
392,"Production, Planning, and Expediting Clerks"
393,Occupational Therapy Aides
394,Order Clerks
395,Pipe Fitters and Steamfitters
396,Histotechnologists and Histologic Technicians
397,"Camera Operators, Television, Video, and Motion Picture"
398,Biomass Power Plant Managers
399,Dental Hygienists
400,Sustainability Specialists
401,Loan Interviewers and Clerks
402,Industrial Engineers
403,Natural Sciences Managers
404,Non-Destructive Testing Specialists
405,Bartenders
406,Security and Fire Alarm Systems Installers
407,Licensed Practical and Licensed Vocational Nurses
408,Occupational Health and Safety Technicians
409,Animal Control Workers
410,Gaming Cage Workers
411,Storage and Distribution Managers
412,Park Naturalists
413,Registered Nurses
414,Payroll and Timekeeping Clerks
415,Orthoptists
416,"Bus Drivers, School or Special Client"
417,Agricultural Engineers
418,Procurement Clerks
419,Industrial Machinery Mechanics
420,Plumbers
421,"Police, Fire, and Ambulance Dispatchers"
422,Skincare Specialists
423,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
424,"Cutting and Slicing Machine Setters, Operators, and Tenders"
425,Power Plant Operators
426,Mechanical Engineers
427,Wind Energy Operations Managers
428,Parts Salespersons
429,Neurodiagnostic Technologists
430,"Painters, Construction and Maintenance"
431,"Patternmakers, Wood"
432,"Hairdressers, Hairstylists, and Cosmetologists"
433,Phlebotomists
434,Anesthesiologists
435,Veterinarians
436,Transportation Managers
437,Healthcare Social Workers
438,Program Directors
439,Financial Examiners
440,Choreographers
441,Food Preparation Workers
442,Methane/Landfill Gas Generation System Technicians
443,Robotics Technicians
444,Residential Advisors
445,"Office Machine Operators, Except Computer"
