ranking,occupation
857,Taxi Drivers and Chauffeurs
858,Tapers
859,Occupational Therapists
860,"Welders, Cutters, and Welder Fitters"
861,Energy Brokers
862,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
863,Home Appliance Repairers
864,"Painters, Transportation Equipment"
865,Radio Operators
866,Molding and Casting Workers
867,Etchers and Engravers
868,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
869,Freight and Cargo Inspectors
870,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
871,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
872,Urologists
873,Recycling Coordinators
874,"Radio, Cellular, and Tower Equipment Installers and Repairers"
875,Ship Engineers
876,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
877,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
878,Photonics Technicians
879,Semiconductor Processors
880,Fiberglass Laminators and Fabricators
881,"Maintenance and Repair Workers, General"
882,Neurologists
883,Urban and Regional Planners
884,"Layout Workers, Metal and Plastic"
885,Ship and Boat Captains
886,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
887,First-Line Supervisors of Logging Workers
888,Geodetic Surveyors
889,Coroners
890,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
891,Surgical Assistants
892,Food Batchmakers
893,Psychiatric Technicians
894,Rail-Track Laying and Maintenance Equipment Operators
895,Shoe and Leather Workers and Repairers
896,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
897,Compliance Managers
898,Logging Equipment Operators
899,"Model Makers, Metal and Plastic"
900,Hospitalists
901,Commercial Divers
902,Dishwashers
903,Radiologic Technicians
904,Private Detectives and Investigators
905,Signal and Track Switch Repairers
906,Helpers--Carpenters
907,"Glass Blowers, Molders, Benders, and Finishers"
908,Butchers and Meat Cutters
909,"Fabric Menders, Except Garment"
910,"Order Fillers, Wholesale and Retail Sales"
911,Social and Human Service Assistants
912,Radio Frequency Identification Device Specialists
913,Locksmiths and Safe Repairers
914,Medical Appliance Technicians
915,Physical Therapist Assistants
916,Civil Drafters
917,Forest Firefighters
918,Operating Engineers and Other Construction Equipment Operators
919,Cytogenetic Technologists
920,Stationary Engineers and Boiler Operators
921,Fence Erectors
922,Elevator Installers and Repairers
923,Diagnostic Medical Sonographers
924,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
925,Crane and Tower Operators
926,Nanotechnology Engineering Technologists
927,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
928,Pile-Driver Operators
929,Cabinetmakers and Bench Carpenters
930,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
931,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
932,Physical Therapist Aides
933,Food Cooking Machine Operators and Tenders
934,Mechatronics Engineers
935,"Packers and Packagers, Hand"
936,"Loading Machine Operators, Underground Mining"
937,Dancers
938,Slot Supervisors
939,"Model Makers, Wood"
940,Electrical and Electronic Equipment Assemblers
941,Team Assemblers
942,Manufacturing Engineering Technologists
943,"Tank Car, Truck, and Ship Loaders"
944,Ophthalmic Laboratory Technicians
945,Solar Energy Installation Managers
946,Gas Compressor and Gas Pumping Station Operators
947,Orthotists and Prosthetists
948,Dermatologists
949,Acute Care Nurses
950,Environmental Compliance Inspectors
951,Human Resources Managers
952,Community Health Workers
953,Bailiffs
954,"Meat, Poultry, and Fish Cutters and Trimmers"
955,"Pressers, Textile, Garment, and Related Materials"
956,Police Identification and Records Officers
957,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
958,Preventive Medicine Physicians
959,Geothermal Technicians
960,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
961,Sheet Metal Workers
962,"Claims Examiners, Property and Casualty Insurance"
963,Telephone Operators
964,Bicycle Repairers
965,Millwrights
966,Optometrists
967,"Painting, Coating, and Decorating Workers"
968,Tellers
969,Biofuels/Biodiesel Technology and Product Development Managers
970,"Graders and Sorters, Agricultural Products"
971,Fire-Prevention and Protection Engineers
972,Animal Scientists
973,Segmental Pavers
974,Home Health Aides
